,name,link,num_page
0,3D Printing beyond Dentistry during COVID 19 Epidemic: A Technical Note for Producing Connectors to Breathing Devices,https://www.mdpi.com/2673-1592/2/2/5,7.0
2,A Reusable Mask for Coronavirus Disease 2019 (COVID-19),https://www.sciencedirect.com/science/article/pii/S0188440920303325,10.0
3,A case report of neonatal COVID-19 infection in China,https://academic.oup.com/cid/advance-article-abstract/doi/10.1093/cid/ciaa225/5803274,10.0
6,Americans are told to wear cloth masks,https://www.bmj.com/content/369/bmj.m1411.full,6.0
7,Anaesthesia and COVID-19: infection control,https://www.sciencedirect.com/science/article/pii/S0007091220302002,10.0
8,Another Day in Dystopia. Italy in the Time of COVID-19,https://www.tandfonline.com/doi/abs/10.1080/01459740.2020.1746300,9.0
9,Are UK doctors getting sufficient protective equipment against covid-19?,https://www.bmj.com/content/369/bmj.m1297,5.0
10,Autopsy in suspected COVID-19 cases,https://jcp.bmj.com/content/early/2020/03/20/jclinpath-2020-206522.full?int_source=trendmd&int_medium=cpc&int_campaign=usage-042019,3.0
13,Beyond the assistance: additional exposure situations to COVID-19 for healthcare workers,https://www.journalofhospitalinfection.com/article/S0195-6701(20)30132-8/abstract,6.0
14,Breaking News: 16 Common-Sense Tips and Facts for Dealing with COVID-19,https://journals.lww.com/em-news/Fulltext/2020/04141/Breaking_News__16_Common_Sense_Tips_and_Facts_for.2.aspx,8.0
15,Brief guideline for the prevention of COVID-19 infection in head and neck and otolaryngology surgeons,https://www.sciencedirect.com/science/article/pii/S0196070920301666,8.0
16,CI Surgery Cancellations due to COVID-19,https://journals.lww.com/thehearingjournal/Fulltext/2020/04000/CI_Surgery_Cancellations_due_to_COVID_19.14.aspx,7.0
17,COVID-19 epidemic: disentangling the re-emerging controversy about medical facemasks from an epidemiological perspective,https://academic.oup.com/ije/advance-article/doi/10.1093/ije/dyaa044/5813980?fbclid=IwAR0ozD-1S5Iye_m1t-uvekJ2Oo9FCFhr4GqE0Fo7ZUHi4dVr2h2UvVltX1g,3.0
18,"COVID-19 in the Nuclear Medicine Department, be prepared for ventilation scans as well!","https://journals.lww.com/nuclearmedicinecomm/Fulltext/2020/05000/COVID_19_in_the_Nuclear_Medicine_Department,_be.11.aspx",7.0
19,COVID-19: the perspective of Italian embryologists managing the IVF laboratory in pandemic emergency,https://academic.oup.com/humrep/advance-article-abstract/doi/10.1093/humrep/deaa074/5817891,10.0
20,"COVID‐19: Emerging compassion, courage and resilience in the face of misinformation and adversity",https://onlinelibrary.wiley.com/doi/abs/10.1111/jocn.15231,8.0
25,Care for critically ill patients with COVID-19,https://jamanetwork.com/journals/jama/article-abstract/2762996,1.0
26,Case for continuing community NIV and CPAP during the COVID-19 epidemic,https://thorax.bmj.com/content/early/2020/04/09/thoraxjnl-2020-214913.abstract,4.0
27,Coronavirus (COVID-19) outbreak: what the department of radiology should know,https://www.sciencedirect.com/science/article/pii/S1546144020301502,2.0
28,Coronavirus Disease 2019 (COVID-19) Pandemic and Pregnancy,https://www.sciencedirect.com/science/article/pii/S0002937820303434,6.0
29,Coronavirus Disease 2019 (COVID-19) and Pregnancy: Responding to a Rapidly Evolving Situation,https://journals.lww.com/greenjournal/Abstract/publishahead/Coronavirus_Disease_2019__COVID_19__and_Pregnancy_.97417.aspx?context=FeaturedArticles&collectionId=5,2.0
30,Coronavirus disease 2019 (COVID-19): emerging and future challenges for dental and oral medicine,https://journals.sagepub.com/doi/abs/10.1177/0022034520914246,7.0
31,Coronavirus disease 2019 (covid-19): a guide for UK GPs,https://www.bmj.com/content/368/bmj.m800.long,6.0
32,Covid-19 pandemic and the skin-What should dermatologists know?,https://www.sciencedirect.com/science/article/pii/S0738081X20300493,4.0
33,Covid-19 pandemic: Summary of current and emerging issues for radiographers,https://www.sor.org/news/covid-19-pandemic-summary-current-and-emerging-issues-radiographers,5.0
34,Covid-19: Doctors are told not to perform CPR on patients in cardiac arrest,https://www.bmj.com/content/368/bmj.m1282.full,5.0
35,"Covid-19: Doctors still at “considerable risk” from lack of PPE, BMA warns",https://www.bmj.com/content/368/bmj.m1316.full,10.0
36,Covid-19: Japan declares state of emergency as Tokyo cases soar,https://www.bmj.com/content/369/bmj.m1447.full,9.0
37,Covid-19: PHE upgrades PPE advice for all patient contacts with risk of infection,https://www.bmj.com/content/369/bmj.m1391,2.0
38,Covid-19: US testing ramps up as early response draws harsh criticism,https://www.bmj.com/content/368/bmj.m1167.full,7.0
39,Covid-19: What is the evidence for cloth masks?,https://www.bmj.com/content/369/bmj.m1422,2.0
40,Covid-19: What's the current advice for UK doctors?,https://www.bmj.com/content/368/bmj.m978,3.0
41,Covid-19: cases grow in US as Trump pushes promise of a malaria drug,https://www.bmj.com/content/368/bmj.m1155,10.0
42,Covid-19: doctors' leaders warn that staff could quit and may die over lack of protective equipment,https://www.bmj.com/content/368/bmj.m1257,5.0
43,"Covid-19: retired doctors could be asked to return to work, says Hancock",https://www.bmj.com/content/368/bmj.m831,8.0
44,Covid-19: the crisis of personal protective equipment in the US,https://www.bmj.com/content/369/bmj.m1367.full,6.0
47,Development and Implementation of a COVID-19 Respiratory Diagnostic Center,https://deepblue.lib.umich.edu/handle/2027.42/154737,2.0
48,Emergency response to the outbreak of COVID-19: the Korean case,https://www.sciencedirect.com/science/article/pii/S1286457920300526,8.0
51,Face masks for the public during the covid-19 crisis,https://www.bmj.com/content/369/bmj.m1435.full,1.0
52,From Containment to Mitigation of COVID-19 in the US,https://jamanetwork.com/journals/jama/article-abstract/2763187,3.0
54,Google searches for the keywords of “wash hands” predict the speed of national spread of COVID-19 outbreak among 21 countries,https://www.sciencedirect.com/science/article/pii/S0889159120304748,6.0
55,Guidance for Cardiac Electrophysiology During the Coronavirus (COVID-19) Pandemic from the Heart Rhythm Society COVID-19 Task Force; Electrophysiology …,https://www.sciencedirect.com/science/article/pii/S1547527120302897,9.0
56,High-flow nasal-oxygenation-assisted fibreoptic tracheal intubation in critically ill patients with COVID-19 pneumonia: a prospective randomised controlled trial,https://bjanaesthesia.org/article/S0007-0912(20)30135-5/abstract,5.0
57,Intensive care management of coronavirus disease 2019 (COVID-19): challenges and recommendations,https://www.sciencedirect.com/science/article/pii/S2213260020301612,9.0
64,Life in the pandemic: some reflections on nursing in the context of COVID‐19,https://onlinelibrary.wiley.com/doi/abs/10.1111/jocn.15257,7.0
69,Management of critically ill adults with COVID-19,https://jamanetwork.com/journals/jama/article-abstract/2763879,1.0
70,Medical Masks vs N95 Respirators for Preventing COVID‐19 in Health Care Workers A Systematic Review and Meta‐Analysis of Randomized Trials,https://onlinelibrary.wiley.com/doi/abs/10.1111/irv.12745,8.0
71,Molecular basis of COVID-19 relationships in different species: a one health perspective,https://www.sciencedirect.com/science/article/pii/S1286457920300484,3.0
73,Novel Coronavirus disease 2019 (COVID-19): The importance of recognising possible early ocular manifestation and using protective eyewear,https://bjo.bmj.com/content/104/3/297.abstract,2.0
74,Offline: COVID-19 and the NHS—“a national scandal”,https://www.thelancet.com/journals/lancet/article/PIIS0140-6736(20)30727-3/fulltext?hss_channel=tw-27013292&utm_campaign=tlcoronavirus20&utm_content=123399631&utm_medium=social&utm_source=twitter,3.0
75,Opinion to address a potential personal protective equipment shortage in the global community during the COVID-19 outbreak,https://www.sciencedirect.com/science/article/pii/S014139102030094X,4.0
78,Perception of emergent epidemic of COVID-2019/SARS CoV-2 on the Polish Internet,https://papers.ssrn.com/sol3/papers.cfm?abstract_id=3572662,6.0
79,Perioperative COVID-19 Defense: An Evidence-Based Approach for Optimization of Infection Control and Operating Room Management,https://journals.lww.com/anesthesia-analgesia/Abstract/publishahead/Perioperative_COVID_19_Defense__An_Evidence_Based.95734.aspx,4.0
80,Precautions and Procedures for Coronary and Structural Cardiac Interventions during the COVID-19 Pandemic: Guidance from Canadian Association of Interventional …,https://www.sciencedirect.com/science/article/pii/S0828282X20303007,5.0
81,Precautions for Operating Room Team Members during the COVID-19 Pandemic,https://www.sciencedirect.com/science/article/pii/S1072751520303033,10.0
82,Preparing IR for COVID-19: The Singapore Experience,https://www.sciencedirect.com/science/article/pii/S1051044320303353,9.0
84,Recommendations and guidance for providing pharmaceutical care services during COVID-19 pandemic: a China perspective,https://www.sciencedirect.com/science/article/pii/S1551741120302849,4.0
85,Respiratory support for patients with COVID-19 infection,https://www.thelancet.com/journals/lanres/article/PIIS2213-2600(20)30110-7/fulltext,2.0
86,"Response to COVID-19 in Taiwan: big data analytics, new technology, and proactive testing",https://jamanetwork.com/journals/jama/article-abstract/2762689,1.0
87,Response to the COVID-19 Epidemic: The Chinese Experience and Implications for Other Countries,https://www.mdpi.com/1660-4601/17/7/2304,6.0
88,Rules on isolation rooms for suspected covid-19 cases in GP surgeries to be relaxed,https://www.bmj.com/content/368/bmj.m707.full,4.0
96,Safety Recommendations for Evaluation and Surgery of the Head and Neck During the COVID-19 Pandemic,https://jamanetwork.com/journals/jamaotolaryngology/article-abstract/2764032,9.0
97,Seattle's covid-19 lessons are yielding hope,https://www.bmj.com/content/369/bmj.m1389.full,9.0
98,Sourcing personal protective equipment during the COVID-19 pandemic,https://jamanetwork.com/journals/jama/article-abstract/2764031,2.0
99,Stopping the Spread of COVID-19,https://jamanetwork.com/journals/jama/article-abstract/2763533,3.0
100,Supporting the health care workforce during the COVID-19 global epidemic,https://jamanetwork.com/journals/jama/article-abstract/2763136,1.0
101,Surgical Response to COVID-19 Pandemic: A Singapore Perspective,https://www.sciencedirect.com/science/article/pii/S1072751520303082,10.0
102,Surgical considerations for tracheostomy during the COVID-19 pandemic: lessons learned from the severe acute respiratory syndrome outbreak,https://jamanetwork.com/journals/jamaotolaryngology/article-abstract/2764033,8.0
105,The COVID-19 Pandemic in the US: A Clinical Update,https://jamanetwork.com/journals/jama/article-abstract/2764366,7.0
106,Toward universal deployable guidelines for the care of patients with COVID-19,https://jamanetwork.com/journals/jama/article-abstract/2763878,9.0
107,Turbulent gas clouds and respiratory pathogen emissions: potential implications for reducing transmission of COVID-19,https://jamanetwork.com/journals/jama/article-abstract/2763852,1.0
108,Using psychoneuroimmunity against COVID-19,https://www.sciencedirect.com/science/article/pii/S0889159120303913,4.0
109,Utility of Substandard Face Mask Options for Health Care Workers During the COVID-19 Pandemic,https://journals.lww.com/anesthesia-analgesia/Citation/publishahead/Utility_of_Substandard_Face_Mask_Options_for.95723.aspx,1.0
110,"Waste Not, Want Not: The Re-Usability of N95 Masks","https://journals.lww.com/anesthesia-analgesia/Abstract/publishahead/Waste_Not,_Want_Not__The_Re_Usability_of_N95_Masks.95722.aspx",6.0
111,Working through the COVID-19 outbreak: Rapid review and recommendations for MSK and allied heath personnel,https://www.sciencedirect.com/science/article/pii/S0976566220300977,3.0
113,[HTML] bjanaesthesia.org,https://bjanaesthesia.org/article/S0007-0912(20)30135-5/fulltext,5.0
114,[HTML] bmj.com,https://jcp.bmj.com/content/early/2020/04/01/jclinpath-2020-206522?hwoasp=authn%3A1585568938%3A4223577%3A3265845346%3A0%3A0%3AUS2Zjz1SBmkAejvjKHYLVg%3D%3D,3.0
115,[HTML] jacr.org,https://www.jacr.org/article/S1546-1440(20)30150-2/fulltext,2.0
116,[HTML] jamanetwork.com,https://jamanetwork.com/journals/jamaotolaryngology/fullarticle/2764032,9.0
117,[HTML] journal-cot.com,https://www.journal-cot.com/article/S0976-5662(20)30097-7/fulltext,3.0
118,[HTML] journalacs.org,https://www.journalacs.org/article/S1072-7515(20)30303-3/fulltext,10.0
119,[HTML] onlinecjc.ca,https://www.onlinecjc.ca/article/S0828-282X(20)30300-7/fulltext,5.0
120,[HTML] thelancet.com,https://www.thelancet.com/journals/lanres/article/PIIS2213-2600(20)30161-2/fulltext,9.0
121,[PDF] ahajournals.org,https://www.ahajournals.org/doi/pdf/10.1161/CIRCULATIONAHA.120.047063,9.0
122,[PDF] ajog.org,https://www.ajog.org/article/S0002-9378(20)30343-4/pdf,6.0
123,[PDF] arxiv.org,https://arxiv.org/pdf/2004.00005,6.0
124,[PDF] bjanaesthesia.org,https://bjanaesthesia.org/article/S0007-0912(20)30200-2/pdf,10.0
125,[PDF] bmj.com,https://thorax.bmj.com/content/thoraxjnl/early/2020/04/09/thoraxjnl-2020-214913.full.pdf,4.0
126,[PDF] covid-data.fr,https://covid-data.fr/media/papers/200312_Gyn_case-of-neonatal-infection-in-China_yuYHFye.pdf,10.0
127,[PDF] giejournal.org,https://www.giejournal.org/article/S0016-5107(20)34131-6/pdf,8.0
